Restaurant Name,Cuisine Type,Location,Best Indian Food Item,Link
Rinkuj Fast Food and Restaurant,Fast Food,Bheruji Circle,Rolls,https://goo.gl/maps/aRtnREahDK5AfHJe8
AFC American Fried Chicken,Indian,sardarpura,Chicken,https://goo.gl/maps/UjW7yvaSGHVn5bZs7
Agarwal Chat Corner,Indian,Sardarpura,Aloo Tikki,https://goo.gl/maps/2ks4Mswnu4RZafrv7
Agarwal Chat Corner,Indian,Sardarpura,Chat,https://goo.gl/maps/2ks4Mswnu4RZafrv7
Agarwal Kadi kachori,Indian,Sardarpura,Kachori,https://goo.gl/maps/jGCJcHTEKyqAgeWQA
Agarwal Kadi kachori,Indian,Sardarpura,Samosa,https://goo.gl/maps/LexeAEFaaBEipffG9
Agarwal Kadi kachori,Indian,Sardarpura,Mirchi Bada,https://goo.gl/maps/jCcLhGxXsXaVQ4MF8
Agra Chat Wale,Indian,Jalori Gate,Aloo Tikki,https://goo.gl/maps/jCcLhGxXsXaVQ4MF8
Agra Chat Wale,Indian,Jalori Gate,Chat,https://goo.gl/maps/qSr7UTR7Hpks6P5U8
Agra Chat Wale,Fast Food,Jalori Gate,Pani Puri,https://goo.gl/maps/qSr7UTR7Hpks6P5U8
Amigos Cafe,Fast Food,Riktiya Bhairuji Temple,Pasta,https://goo.gl/maps/qSr7UTR7Hpks6P5U8
Amritsari Kulcha,Indian,oppo.Bioscope,Chole kulche,https://goo.gl/maps/KmpxS9FWmM512Ls99
Anurag Arora's Chaat Bhandar,Indian,Bhati Circle,Aloo Tikki,https://goo.gl/maps/KmpxS9FWmM512Ls99
Anurag Arora's Chaat Bhandar,Indian,Bhati Circle,Chat,https://goo.gl/maps/KmpxS9FWmM512Ls99
Anurag Arora's Chaat Bhandar,Fast Food,Bhati Circle,Pani Puri,https://goo.gl/maps/xwSFRmrm42SeSjPm7
Arora chat & Fast Food,Fast Food,Sardarpura,Aloo Tikki,https://goo.gl/maps/PTrDXxrBBJ2cRnd26
Arora chat & Fast Food,Indian,Sardarpura,Chat,https://goo.gl/maps/URHXvsCKwNAuVp278
Arora chat & Fast Food,Fast Food,Sardarpura,Pani Puri,https://goo.gl/maps/URHXvsCKwNAuVp278
Arora Chat Bhandar,Indian,Nai Sarak,Aloo Tikki,https://goo.gl/maps/URHXvsCKwNAuVp278
Arora Chat Bhandar,Fast Food,Nai Sarak,Aloo Tikki,https://goo.gl/maps/BiYtaWgEEfDY1rrA6
Arora Chat Bhandar,Indian,Nai Sarak,Chat,https://goo.gl/maps/BiYtaWgEEfDY1rrA6
Arora Chat Bhandar,Fast Food,Nai Sarak,Pani Puri,https://goo.gl/maps/BiYtaWgEEfDY1rrA6
Aunty's Pizza & Aryans Restaurant,Fast Food,"Shop no  , Ashok Udhyan",Garlic Bread,https://goo.gl/maps/fNdf4xVjrezWjKqV6
Backspace,Fast Food,ITI circle,Sandwich,https://goo.gl/maps/fNdf4xVjrezWjKqV6
Bharkadevi IceCream ,Drinks/ Dessert,"NH,Meera Nagar",Ice Cream,https://goo.gl/maps/fNdf4xVjrezWjKqV6
Bhati Daal Bati Bhojanalaya,Indian,Sardarpura C Road,Dal Baati,https://goo.gl/maps/YpNAoyxuDhyv2ZdW9
Bhati Dal Baati & Multani Sweets,Fast Food,Paota Circle,Aloo Tikki,https://goo.gl/maps/S7eeM39bQc6yj4639
Bhati Dal Baati & Multani Sweets,Indian,Paota Circle,Dal Baati,https://goo.gl/maps/gJjm3PQ8ZsFGtYkR6
Bhawani Dal Baati churma,Indian,Chopasani Road,Dal Baati,https://goo.gl/maps/Avvc8tPGDDrfFzAa8
Biryani House,Indian,Ratanada,Biryani,https://goo.gl/maps/Avvc8tPGDDrfFzAa8
Blend Restaurant and Cafe ,Fast Food,PWD Colony,Aloo Tikki,https://goo.gl/maps/Avvc8tPGDDrfFzAa8
Bombay Sandwich,Fast Food,Paota C Road,Sandwich,https://goo.gl/maps/YWNneYCYbX2gWy36A
Bricks Restaurant and Bakers,Fast Food,"Near Childrean Park, Sardarpura, Paota, Bhdasiya",Garlic Bread,https://goo.gl/maps/9aJ4S7cRnug7p25R6
Burger Farm,Fast Food,Sardarpura,Burger,https://goo.gl/maps/h1GeSu5ZB2b82YxNA
Burger Farm,Fast Food,Sardarpura,French Fries,https://goo.gl/maps/b4nhajRLuKBQGFiL7
